outcome,predictor,logloss_age,logloss_age_plus_pred,logloss_pred_alone,gain_added_to_age
Q32,Marital status,1.3232828426088843,1.319889841219016,1.3309461519329118,0.0033930013898682
Q33,Sex,1.0839377056619388,1.073207081692855,1.1176510654852003,0.010730623969083863
Q33,Education (3-level),1.0839377056619388,1.075913732725088,1.1105826842316726,0.008023972936850754
Q33,Personal income (3-level),1.0839377056619388,1.0757651766091616,1.109150557830301,0.008172529052777211
Q33,Religiosity,1.0839377056619388,1.0765853680194126,1.1182198343080993,0.0073523376425261855
Q33,Subjective social class,1.0839377056619388,1.0818548508313843,1.128304772152492,0.0020828548305544814
Q33,Employment status,1.0839377056619388,1.078842564579178,1.0977329045877915,0.005095141082760879
Q33,Marital status,1.0839377056619388,1.085556806878991,1.126309202033658,-0.0016191012170521102
Q34,Sex,1.622867268016971,1.6233579749467253,1.6199323650546666,-0.000490706929754392
Q34,Education (3-level),1.622867268016971,1.6166192956802454,1.6127198744398084,0.006247972336725471
Q34,Personal income (3-level),1.622867268016971,1.6213501639223522,1.6181873998684349,0.0015171040946186931
Q34,Religiosity,1.622867268016971,1.6241768685379743,1.6206012373228202,-0.0013096005210033734
Q34,Subjective social class,1.622867268016971,1.616814584161986,1.613729525683933,0.006052683854984808
Q34,Employment status,1.622867268016971,1.623344478421481,1.6195095186158592,-0.0004772104045100978
Q34,Marital status,1.622867268016971,1.6252834599687582,1.621929505078381,-0.0024161919517873276
Q35,Sex,1.2608041674367005,1.263593477978724,1.2992836785728739,-0.00278931054202336
Q35,Education (3-level),1.2608041674367005,1.2477884913211486,1.2717831703272702,0.013015676115551988
Q35,Personal income (3-level),1.2608041674367005,1.247762276839159,1.2731140870998305,0.013041890597541572
Q35,Religiosity,1.2608041674367005,1.2596415529122358,1.2932032928836619,0.0011626145244647557
Q35,Subjective social class,1.2608041674367005,1.2554672793976067,1.2920685766365225,0.005336888039093823
Q35,Employment status,1.2608041674367005,1.248539816668742,1.266105686651803,0.01226435076795851
Q35,Marital status,1.2608041674367005,1.2583244489568461,1.292314891160166,0.002479718479854398
Q36,Sex,1.6109110855374653,1.5884179463471109,1.6256412548425747,0.02249313919035445
Q36,Education (3-level),1.6109110855374653,1.6110755934884267,1.6430268922057691,-0.00016450795096134563
Q36,Personal income (3-level),1.6109110855374653,1.6080603419605979,1.6400347968605895,0.0028507435768674316
Q36,Religiosity,1.6109110855374653,1.5905939961278766,1.6246768271055363,0.020317089409588762
Q36,Subjective social class,1.6109110855374653,1.612260173440092,1.649862110204031,-0.0013490879026267777
Q36,Employment status,1.6109110855374653,1.6095898535367326,1.6364585522295971,0.0013212320007327527
Q36,Marital status,1.6109110855374653,1.606180303224311,1.6398362624409473,0.00473078231315438
Q37,Sex,1.2746608225885048,1.2652692007133666,1.2655455518797685,0.0093916218751382
Q37,Education (3-level),1.2746608225885048,1.2749591216842528,1.2750498278040585,-0.000298299095748078
Q37,Personal income (3-level),1.2746608225885048,1.2750244596109186,1.2746326469931692,-0.0003636370224138208
Q37,Religiosity,1.2746608225885048,1.251517526699654,1.251112782024256,0.023143295888850668
Q37,Subjective social class,1.2746608225885048,1.2779353193740315,1.2785208941318436,-0.003274496785526715
Q37,Employment status,1.2746608225885048,1.2759757283265087,1.2752625202755419,-0.0013149057380039686
Q37,Marital status,1.2746608225885048,1.2771440033335457,1.2771328461331002,-0.002483180745040947
Q38,Sex,1.4730775828406224,1.4713487552211604,1.4797094543309643,0.0017288276194620256
Q38,Education (3-level),1.4730775828406224,1.4736213481371272,1.4796439848506955,-0.0005437652965047945
Q38,Personal income (3-level),1.4730775828406224,1.4767897122018738,1.4837267719446832,-0.003712129361251426
Q38,Religiosity,1.4730775828406224,1.4577071879605366,1.4679340136454342,0.015370394880085847
Q38,Subjective social class,1.4730775828406224,1.4741155092582063,1.4819965746424146,-0.0010379264175839342
Q38,Employment status,1.4730775828406224,1.4764360954005218,1.4828152791757667,-0.003358512559899385
Q38,Marital status,1.4730775828406224,1.4693085951662943,1.4753503449583838,0.003768987674328095
Q39,Sex,1.5692494307161897,1.5558399191953396,1.5611889938038432,0.013409511520850126
Q39,Education (3-level),1.5692494307161897,1.5666534983569909,1.5711779271665427,0.0025959323591988603
Q39,Personal income (3-level),1.5692494307161897,1.5696177760373728,1.5735675721492144,-0.0003683453211831278
Q39,Religiosity,1.5692494307161897,1.571196832998553,1.5763537707837287,-0.001947402282363342
Q39,Subjective social class,1.5692494307161897,1.5643018271345877,1.5698630583667559,0.004947603581602067
Q39,Employment status,1.5692494307161897,1.5673636100574657,1.57139082279955,0.0018858206587240023
Q39,Marital status,1.5692494307161897,1.5697061662652503,1.5759201281558541,-0.0004567355490605607
Q40,Sex,1.4796381543119432,1.477586920519863,1.4748390638503133,0.002051233792080165
Q40,Education (3-level),1.4796381543119432,1.4814867604214461,1.4785414670579813,-0.0018486061095028816
Q40,Personal income (3-level),1.4796381543119432,1.480758584874053,1.477759582756205,-0.0011204305621097532
Q40,Religiosity,1.4796381543119432,1.47652615172214,1.473520029836861,0.0031120025898032644
Q40,Subjective social class,1.4796381543119432,1.4817764723605633,1.4789683708805859,-0.0021383180486200803
Q40,Employment status,1.4796381543119432,1.4807861251337449,1.4785532182778536,-0.001147970821801625
Q40,Marital status,1.4796381543119432,1.4822886650677196,1.4798159423869492,-0.0026505107557763807
Q41,Sex,1.3850981903265154,1.384962680890243,1.4140772329017122,0.00013550943627227419
