id,cluster,prob_cluster_0,prob_cluster_1
175.0,1,9.372127148364624e-07,0.9999990627872948
176.0,1,4.523687478256966e-16,1.0
177.0,0,1.0,5.990358326322848e-15
178.0,0,1.0,7.1867015509950705e-28
179.0,0,1.0,1.0718150639553434e-14
180.0,1,4.4005849724787166e-05,0.9999559941502562
181.0,0,1.0,2.3205129434599476e-37
182.0,0,1.0,9.315846772528094e-32
183.0,1,0.00018432533751315276,0.9998156746624597
184.0,0,0.9904189524326569,0.009581047567352653
185.0,0,0.9999999999998295,1.5014755416840027e-13
186.0,0,1.0,4.798807813297826e-24
187.0,0,0.9999999999996021,4.0990706263327295e-13
188.0,1,0.00030697801473446795,0.9996930219852467
189.0,0,0.9999999999976694,2.3124414851079745e-12
190.0,1,1.619414240192654e-42,1.0
191.0,0,0.9974670443973064,0.0025329556026664904
192.0,1,2.7306865241132293e-43,1.0
193.0,0,0.9999999999928093,7.187624496577656e-12
195.0,1,8.063124977286668e-55,1.0
196.0,0,1.0,5.255751627567857e-16
197.0,1,0.13062944850144514,0.8693705514985326
198.0,1,0.03219667030831795,0.9678033296916958
199.0,0,0.9999999988149284,1.1850654857371684e-09
200.0,0,1.0,2.431619353314959e-21
201.0,0,0.993893447435671,0.006106552564327624
202.0,0,1.0,4.443752030213871e-26
203.0,1,6.675006866586446e-12,0.9999999999933493
204.0,1,1.9263516566088077e-11,0.9999999999807301
205.0,1,1.2782882911439015e-50,1.0
206.0,0,1.0,1.0678964572777157e-17
207.0,0,1.0,9.277389769604413e-21
208.0,0,0.999999999998181,1.8210855130083963e-12
209.0,1,9.753250220691011e-12,0.9999999999902229
210.0,0,1.0,9.866784070053792e-22
211.0,0,0.9909970899515302,0.009002910048486107
212.0,1,1.1405121542833737e-23,1.0
213.0,1,1.6936968873059908e-17,1.0
214.0,0,1.0,1.6700923679598743e-28
215.0,1,1.7221035122482475e-46,1.0
216.0,0,0.9999999999996589,3.2213344216881895e-13
217.0,0,0.9998778774807316,0.00012212251929627838
218.0,0,1.0,3.041352477405103e-19
219.0,1,6.899967614062728e-33,1.0
220.0,1,4.899597652134631e-06,0.9999951004023251
221.0,1,0.00041008865076361804,0.9995899113492481
222.0,0,1.0,1.5185697583987933e-14
223.0,1,3.1682614043353723e-09,0.9999999968317184
224.0,0,0.9999999998409521,1.590478119725894e-10
225.0,1,1.4744218404361554e-27,1.0
226.0,0,1.0,1.2896838118912237e-17
227.0,1,5.5126634437288e-06,0.9999944873365683
228.0,1,5.8107640651135354e-27,1.0
229.0,0,0.695423565688581,0.30457643431142645
230.0,1,3.085288565615483e-39,1.0
231.0,1,1.658371521630848e-30,1.0
232.0,1,1.0350742815191275e-06,0.9999989649257045
233.0,1,7.474055619400994e-16,1.0
234.0,0,1.0,9.710764072791125e-28
