id,cluster,prob_cluster_0,prob_cluster_1
106.0,0,1.0,1.742466604635148e-21
107.0,0,1.0,2.0099113864054598e-23
108.0,0,1.0,2.7206433914364137e-17
109.0,1,1.27767573119041e-46,1.0
110.0,1,1.6380842848696513e-19,1.0
111.0,1,1.4629518626175805e-18,1.0
112.0,1,2.48901851685769e-24,1.0
113.0,1,7.718330877296928e-17,1.0
114.0,0,1.0,7.960037342399832e-18
115.0,1,6.717196381922395e-14,0.9999999999999432
116.0,1,6.952159883188782e-68,1.0
117.0,1,2.5193972096287252e-20,1.0
118.0,1,0.004004755330378784,0.9959952446696352
119.0,0,0.9999995019958977,4.980040830898389e-07
120.0,0,0.9999980449490307,1.9550509778286444e-06
121.0,1,6.94162256012995e-08,0.9999999305837857
122.0,1,2.1697677374634898e-06,0.9999978302322694
123.0,1,4.1421515827350367e-19,1.0
124.0,1,9.677165479564029e-18,1.0
125.0,0,0.9999761983398362,2.3801660159181614e-05
126.0,1,1.2130255897597637e-32,1.0
127.0,0,0.9999999999988631,1.1493685428311107e-12
128.0,0,1.0,2.5705366740956508e-42
129.0,1,1.627832471011666e-12,0.9999999999983515
130.0,0,1.0,1.184504602633887e-17
131.0,0,1.0,2.724360454655184e-31
132.0,1,8.202316937342657e-11,0.999999999917975
133.0,0,0.9999999961082153,3.891787019669538e-09
134.0,0,0.9999999993336814,6.663052229851193e-10
135.0,0,0.9734225670486967,0.026577432951313058
136.0,1,5.050397492300794e-103,1.0
137.0,0,1.0,4.596946341469243e-33
138.0,0,0.9465292553059964,0.053470744693990706
139.0,0,1.0,6.4913831325162725e-28
140.0,0,1.0,7.483335696360719e-22
141.0,0,0.9999622154029046,3.778459709490994e-05
142.0,1,1.625300930257114e-40,1.0
143.0,0,1.0,1.0851182855092034e-22
144.0,1,1.7816012757430345e-06,0.9999982183987254
145.0,0,0.9999815287711239,1.847122885275924e-05
146.0,0,1.0,1.4849436950967942e-15
147.0,1,3.0449753866430156e-08,0.9999999695502599
148.0,1,2.611838417068072e-21,1.0
149.0,0,0.9999991906035894,8.093963847500565e-07
150.0,0,1.0,1.722474449881138e-31
151.0,0,1.0,2.931627474210339e-32
152.0,1,2.5126283904474634e-16,1.0
153.0,0,0.9999999950980509,4.901975262394554e-09
154.0,1,5.4885421167605976e-17,1.0
155.0,1,4.0187149354018246e-26,1.0
156.0,1,2.327029965200435e-16,1.0
157.0,0,0.984201184801092,0.01579881519888114
158.0,0,0.9999999986955572,1.3044155930969877e-09
159.0,1,0.00023186200041749557,0.9997681379995786
160.0,1,0.029171671046897253,0.9708283289530747
161.0,1,1.618996600176433e-64,1.0
162.0,0,1.0,7.295898443075003e-19
163.0,0,0.9441605260430886,0.05583947395688901
164.0,1,3.4649942207259497e-08,0.9999999653500714
165.0,0,1.0,4.321484177827103e-15
166.0,0,1.0,1.2024294631033915e-21
167.0,1,7.525136576608893e-18,1.0
168.0,0,1.0,8.20405664155194e-17
169.0,0,0.9999999999966462,3.359773969898738e-12
170.0,1,6.827175593038146e-35,1.0
171.0,1,9.838811058275704e-34,1.0
172.0,1,3.0444134956681228e-21,1.0
173.0,1,1.3653189517389326e-67,1.0
174.0,1,9.301159361410165e-11,0.9999999999070042
175.0,1,9.372127148364624e-07,0.9999990627872948
176.0,1,4.523687478256195e-16,1.0
177.0,0,1.0,5.9903583263230184e-15
178.0,0,1.0,7.1867015509954785e-28
179.0,0,1.0,1.0718150639554652e-14
180.0,1,4.4005849724789666e-05,0.9999559941502562
181.0,0,1.0,2.3205129434600136e-37
182.0,0,1.0,9.315846772528094e-32
183.0,1,0.0001843253375131318,0.9998156746624597
184.0,0,0.9904189524326569,0.009581047567353198
185.0,0,0.9999999999998295,1.501475541684088e-13
186.0,0,1.0,4.798807813298099e-24
187.0,0,0.9999999999996021,4.0990706263329623e-13
188.0,1,0.00030697801473446795,0.9996930219852467
189.0,0,0.9999999999976694,2.3124414851082374e-12
190.0,1,1.619414240192562e-42,1.0
191.0,0,0.9974670443973064,0.0025329556026664904
192.0,1,2.730686524113074e-43,1.0
193.0,0,0.9999999999928093,7.187624496579086e-12
195.0,1,8.063124977285753e-55,1.0
196.0,0,1.0,5.255751627568156e-16
197.0,1,0.13062944850144514,0.869370551498582
198.0,1,0.032196670308317035,0.9678033296916958
199.0,0,0.9999999988149284,1.1850654857370336e-09
200.0,0,1.0,2.431619353315097e-21
201.0,0,0.993893447435671,0.006106552564327624
202.0,0,1.0,4.443752030213871e-26
203.0,1,6.675006866586446e-12,0.9999999999933493
204.0,1,1.9263516566085886e-11,0.9999999999807301
205.0,1,1.2782882911439015e-50,1.0
206.0,0,1.0,1.0678964572777764e-17
207.0,0,1.0,9.277389769604941e-21
208.0,0,0.999999999998181,1.8210855130085514e-12
209.0,1,9.753250220690457e-12,0.9999999999902229
210.0,0,1.0,9.866784070054353e-22
211.0,0,0.9909970899515302,0.009002910048486107
212.0,1,1.140512154283244e-23,1.0
213.0,1,1.6936968873058943e-17,1.0
214.0,0,1.0,1.6700923679599218e-28
215.0,1,1.7221035122482475e-46,1.0
216.0,0,0.9999999999996589,3.2213344216881895e-13
217.0,0,0.9998778774807316,0.00012212251929628532
218.0,0,1.0,3.0413524774056217e-19
219.0,1,6.899967614062335e-33,1.0
