id,cluster,prob_cluster_0,prob_cluster_1
104.0,0,1.0,1.2077990407709996e-17
105.0,1,0.00022065076535944633,0.999779349234659
106.0,0,0.9999999999999432,6.105554538776833e-14
107.0,0,1.0,2.0950241234738638e-23
108.0,0,0.9999999999968168,3.1772577297136375e-12
109.0,1,8.910115995736735e-51,1.0
110.0,1,1.5541851798564936e-17,1.0
111.0,1,2.5733227039448303e-14,0.9999999999999716
112.0,1,2.51842620553676e-12,0.9999999999974705
113.0,0,0.9999999999830607,1.694621282742968e-11
114.0,0,1.0,8.508899286074907e-16
115.0,1,6.089207949736778e-21,1.0
116.0,1,9.561923963398343e-31,1.0
117.0,1,9.85496851080026e-27,1.0
118.0,0,0.9937325262586271,0.006267473741387672
119.0,0,0.9999974701103326,2.5298896658899252e-06
120.0,0,0.8125794111644942,0.18742058883549523
121.0,1,3.443971687769102e-21,1.0
122.0,1,1.0258303629074022e-11,0.9999999999897682
123.0,1,8.482692065664134e-27,1.0
124.0,1,1.2284939700986725e-24,1.0
125.0,1,0.002002961803452635,0.9979970381965341
126.0,1,1.1871623067704085e-22,1.0
127.0,0,0.9999999397335859,6.026640468229847e-08
128.0,0,1.0,3.2611640180490706e-37
129.0,1,2.2361429428997387e-13,0.9999999999997726
130.0,0,0.9999999980823873,1.9175937981632613e-09
131.0,0,1.0,1.464858819467176e-27
132.0,1,5.18650009502815e-14,0.9999999999999432
133.0,0,0.9999986625900722,1.337409914597171e-06
134.0,0,0.9999657341299819,3.426587001075676e-05
135.0,1,0.016729053713224185,0.9832709462867639
136.0,1,2.052133323999206e-111,1.0
137.0,0,1.0,2.2156951059971626e-30
138.0,0,0.9775893301181213,0.02241066988189121
139.0,0,1.0,1.781464430369683e-21
140.0,0,1.0,1.2823268873100786e-17
141.0,0,0.9930582510208957,0.006941748979090966
142.0,1,1.0605572463533627e-55,1.0
143.0,0,1.0,8.549495368154607e-20
144.0,1,8.562648562762333e-18,1.0
145.0,0,0.9995156132868772,0.0004843867131444455
146.0,0,0.9999999999989768,1.032728363133045e-12
147.0,1,2.6464100459565836e-13,0.9999999999997442
148.0,0,0.9951202884697404,0.004879711530256922
149.0,0,0.9981881928077327,0.0018118071922567304
150.0,0,1.0,1.2013869330675393e-22
151.0,0,1.0,1.1404098406135e-30
152.0,1,2.471183914045236e-39,1.0
153.0,1,4.5682076951992725e-05,0.9999543179230389
154.0,1,1.6504466625088727e-15,1.0
155.0,1,2.5790481109090265e-22,1.0
156.0,1,1.1444867982618767e-06,0.9999988555132132
157.0,1,3.710241696299856e-14,0.9999999999999432
158.0,0,0.9999999978548431,2.145140284657113e-09
159.0,0,0.9999999999986358,1.3690675316884723e-12
160.0,1,0.0014468772707194582,0.9985531227292798
161.0,1,6.028270633597792e-12,0.9999999999939746
162.0,0,0.9999999999992326,7.626912054860797e-13
163.0,1,1.1919448939963391e-06,0.9999988080550961
164.0,1,2.5808310547016677e-13,0.9999999999997158
165.0,0,0.9999999999827764,1.723516589178636e-11
166.0,0,1.0,1.5143055220703783e-19
167.0,1,9.400232623552026e-14,0.9999999999998863
168.0,0,0.9999999998129852,1.8700880893059157e-10
169.0,0,1.0,3.739565686410955e-22
170.0,1,5.4087990181452494e-45,1.0
171.0,1,0.01609221633437383,0.9839077836656188
172.0,1,1.3515788502827863e-33,1.0
173.0,1,1.4661261032628124e-21,1.0
174.0,1,4.456032987182912e-19,1.0
175.0,1,3.1641294710784853e-09,0.9999999968358679
176.0,1,1.465443026489671e-27,1.0
177.0,0,0.9999944401678479,5.559832165331547e-06
