id,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2
363.0,1,6.370448539449592e-15,1.0,1.0284302421124517e-40
364.0,2,7.760119147950234e-11,0.00039547423719394487,0.9996045256851959
365.0,1,4.069696308229795e-07,0.9999995930303645,7.413508686682623e-39
366.0,1,1.3030867213287846e-28,1.0,5.866501433577435e-23
367.0,1,3.861464958627849e-15,0.9999998970131454,1.0298684765527192e-07
368.0,1,5.067557252785535e-18,0.9999999859435321,1.4056486512868905e-08
369.0,0,1.0,4.2468626435614224e-32,1.3154656957966907e-48
370.0,1,0.0010978520457239124,0.9989021479542564,4.914087720451436e-34
371.0,1,7.538928095869838e-10,0.9999482727534194,5.1726492691430466e-05
372.0,0,1.0,5.832876543844074e-44,6.341718452293923e-36
373.0,2,1.3168865178454056e-14,0.0004814224798509247,0.9995185775201175
374.0,2,2.6337347047258973e-43,4.0142279959251007e-25,1.0
375.0,0,0.9999999999631655,3.684671092883679e-11,1.1988505392327015e-74
376.0,1,5.068021705203855e-08,0.9999999493197733,1.0259764488069769e-26
377.0,1,0.001729539072651444,0.998270460927369,5.932590292727048e-24
378.0,1,2.8763624756293028e-15,1.0,9.401190309352988e-25
379.0,1,2.6022786947237827e-11,0.9999914308061142,8.569167858000867e-06
380.0,0,1.0,4.60046855456335e-72,9.642557979846755e-81
381.0,1,2.93218959615205e-08,0.9999999706781186,1.7361624954980194e-49
382.0,1,9.16261604817947e-19,1.0,2.196333464434053e-86
383.0,2,3.6766000880854683e-16,1.2834930579265387e-22,1.0
384.0,2,9.390313881701579e-41,2.7191226681370946e-23,1.0
385.0,2,2.267694474385646e-25,4.572077446207623e-16,1.0
386.0,2,6.5674508028155425e-25,7.801863107556035e-19,1.0
387.0,0,1.0,2.2537727263031338e-120,1.3418638390079322e-248
388.0,2,5.69601357674833e-12,2.5603948943799324e-13,0.9999999999940314
389.0,1,3.1379543222735223e-12,0.9999999999968736,1.5776314755376814e-34
390.0,1,5.342156307919449e-08,0.9999999465753163,3.112273018611581e-12
391.0,2,2.705496963084245e-22,3.1365274707426686e-11,0.9999999999686224
392.0,1,0.0006094579162342262,0.9990732916546344,0.00031725042915071907
393.0,1,3.6080001214935056e-31,0.9999999926250212,7.374972114640052e-09
394.0,2,4.553221052444533e-34,1.098368714340194e-57,1.0
395.0,2,3.550357162045131e-30,4.970014005322732e-13,0.9999999999995168
396.0,0,0.9998229999609658,0.00017700003901206473,6.975465097269642e-39
397.0,1,4.5138172544495555e-31,0.9999999999481872,5.1807933452612095e-11
398.0,0,1.0,1.5470156333311657e-108,1.5267185413517612e-205
399.0,1,3.8113288329608456e-29,1.0,1.72903763259571e-17
400.0,1,1.5069712555509973e-10,0.9999999998493081,5.1872002821620774e-42
401.0,0,1.0,2.098541605009426e-37,4.4837738740802663e-44
402.0,2,1.6542329445508869e-28,3.6610528296738334e-23,1.0
403.0,0,1.0,2.7984037214139813e-28,6.88839571615274e-17
